Date,Product_ID,Product_Name,Category,Region,Sales_Qty,Stock_Level,Lead_Time,Unit_Price,Revenue,Season
05-01-2022,P009,Perfume,Cosmetics,West,8,60,8,1500,12000,Winter
06-01-2022,P001,Basmati Rice,Grocery,South,45,107,2,60,2700,Winter
06-01-2022,P002,Wheat Flour,Grocery,West,58,113,4,40,2320,Winter
06-01-2022,P003,Cooking Oil,Grocery,West,32,97,2,150,4800,Winter
06-01-2022,P004,Cotton Shirt,Clothing,West,18,62,6,800,14400,Winter
06-01-2022,P005,Denim Jeans,Clothing,East,23,110,9,1200,27600,Winter
06-01-2022,P006,Winter Jacket,Clothing,South,45,144,7,2500,112500,Winter
06-01-2022,P007,Lipstick,Cosmetics,North,7,96,12,500,3500,Winter
06-01-2022,P008,Face Cream,Cosmetics,North,5,89,10,700,3500,Winter
06-01-2022,P009,Perfume,Cosmetics,South,3,95,8,1500,4500,Winter
07-01-2022,P001,Basmati Rice,Grocery,East,45,136,4,60,2700,Winter
07-01-2022,P002,Wheat Flour,Grocery,North,20,97,2,40,800,Winter
07-01-2022,P003,Cooking Oil,Grocery,North,35,86,2,150,5250,Winter
07-01-2022,P004,Cotton Shirt,Clothing,South,23,109,8,800,18400,Winter
07-01-2022,P005,Denim Jeans,Clothing,East,18,116,6,1200,21600,Winter
07-01-2022,P006,Winter Jacket,Clothing,East,42,81,9,2500,105000,Winter
07-01-2022,P007,Lipstick,Cosmetics,South,12,60,11,500,6000,Winter
07-01-2022,P008,Face Cream,Cosmetics,North,10,41,9,700,7000,Winter
07-01-2022,P009,Perfume,Cosmetics,West,4,68,11,1500,6000,Winter
08-01-2022,P001,Basmati Rice,Grocery,East,56,150,2,60,3360,Winter
08-01-2022,P002,Wheat Flour,Grocery,West,48,123,3,40,1920,Winter
08-01-2022,P003,Cooking Oil,Grocery,South,54,91,2,150,8100,Winter
08-01-2022,P004,Cotton Shirt,Clothing,South,23,59,9,800,18400,Winter
08-01-2022,P005,Denim Jeans,Clothing,North,8,58,5,1200,9600,Winter
08-01-2022,P006,Winter Jacket,Clothing,South,30,108,8,2500,75000,Winter
08-01-2022,P007,Lipstick,Cosmetics,North,14,98,9,500,7000,Winter
08-01-2022,P008,Face Cream,Cosmetics,North,3,94,9,700,2100,Winter
08-01-2022,P009,Perfume,Cosmetics,East,11,59,12,1500,16500,Winter
09-01-2022,P001,Basmati Rice,Grocery,East,38,136,4,60,2280,Winter
09-01-2022,P002,Wheat Flour,Grocery,West,40,92,2,40,1600,Winter
09-01-2022,P003,Cooking Oil,Grocery,South,58,92,4,150,8700,Winter
09-01-2022,P004,Cotton Shirt,Clothing,East,19,57,6,800,15200,Winter
09-01-2022,P005,Denim Jeans,Clothing,North,11,82,6,1200,13200,Winter
09-01-2022,P006,Winter Jacket,Clothing,South,29,66,5,2500,72500,Winter
09-01-2022,P007,Lipstick,Cosmetics,West,11,85,13,500,5500,Winter
09-01-2022,P008,Face Cream,Cosmetics,East,12,60,11,700,8400,Winter
09-01-2022,P009,Perfume,Cosmetics,North,14,104,13,1500,21000,Winter
10-01-2022,P001,Basmati Rice,Grocery,North,22,113,2,60,1320,Winter
10-01-2022,P002,Wheat Flour,Grocery,North,52,87,3,40,2080,Winter
10-01-2022,P003,Cooking Oil,Grocery,West,40,105,4,150,6000,Winter
10-01-2022,P004,Cotton Shirt,Clothing,North,19,97,5,800,15200,Winter
10-01-2022,P005,Denim Jeans,Clothing,South,20,106,8,1200,24000,Winter
10-01-2022,P006,Winter Jacket,Clothing,West,38,91,6,2500,95000,Winter
10-01-2022,P007,Lipstick,Cosmetics,West,12,101,10,500,6000,Winter
10-01-2022,P008,Face Cream,Cosmetics,North,11,73,11,700,7700,Winter
10-01-2022,P009,Perfume,Cosmetics,West,5,40,11,1500,7500,Winter
11-01-2022,P001,Basmati Rice,Grocery,East,44,129,3,60,2640,Winter
11-01-2022,P002,Wheat Flour,Grocery,North,24,118,3,40,960,Winter
11-01-2022,P003,Cooking Oil,Grocery,North,45,75,2,150,6750,Winter
11-01-2022,P004,Cotton Shirt,Clothing,North,9,41,9,800,7200,Winter
11-01-2022,P005,Denim Jeans,Clothing,North,14,60,5,1200,16800,Winter
11-01-2022,P006,Winter Jacket,Clothing,North,39,100,8,2500,97500,Winter
11-01-2022,P007,Lipstick,Cosmetics,West,8,40,10,500,4000,Winter
11-01-2022,P008,Face Cream,Cosmetics,North,9,52,9,700,6300,Winter
11-01-2022,P009,Perfume,Cosmetics,East,8,87,12,1500,12000,Winter
12-01-2022,P001,Basmati Rice,Grocery,East,46,127,2,60,2760,Winter
12-01-2022,P002,Wheat Flour,Grocery,West,49,83,2,40,1960,Winter
12-01-2022,P003,Cooking Oil,Grocery,West,36,134,3,150,5400,Winter
12-01-2022,P004,Cotton Shirt,Clothing,North,23,75,7,800,18400,Winter
12-01-2022,P005,Denim Jeans,Clothing,West,8,41,7,1200,9600,Winter
12-01-2022,P006,Winter Jacket,Clothing,East,55,103,9,2500,137500,Winter
12-01-2022,P007,Lipstick,Cosmetics,West,3,37,8,500,1500,Winter
12-01-2022,P008,Face Cream,Cosmetics,South,12,86,8,700,8400,Winter
12-01-2022,P009,Perfume,Cosmetics,North,10,102,8,1500,15000,Winter
13-01-2022,P001,Basmati Rice,Grocery,West,20,101,4,60,1200,Winter
13-01-2022,P002,Wheat Flour,Grocery,East,33,76,4,40,1320,Winter
13-01-2022,P003,Cooking Oil,Grocery,East,42,89,3,150,6300,Winter
13-01-2022,P004,Cotton Shirt,Clothing,East,9,77,5,800,7200,Winter
13-01-2022,P005,Denim Jeans,Clothing,South,16,62,8,1200,19200,Winter
13-01-2022,P006,Winter Jacket,Clothing,West,34,81,8,2500,85000,Winter
13-01-2022,P007,Lipstick,Cosmetics,South,10,79,9,500,5000,Winter
13-01-2022,P008,Face Cream,Cosmetics,South,6,61,9,700,4200,Winter
13-01-2022,P009,Perfume,Cosmetics,North,11,73,12,1500,16500,Winter
14-01-2022,P001,Basmati Rice,Grocery,South,23,107,2,60,1380,Winter
14-01-2022,P002,Wheat Flour,Grocery,East,59,112,4,40,2360,Winter
14-01-2022,P003,Cooking Oil,Grocery,West,30,110,3,150,4500,Winter
14-01-2022,P004,Cotton Shirt,Clothing,East,12,92,8,800,9600,Winter
14-01-2022,P005,Denim Jeans,Clothing,South,8,57,8,1200,9600,Winter
14-01-2022,P006,Winter Jacket,Clothing,North,37,77,8,2500,92500,Winter
14-01-2022,P007,Lipstick,Cosmetics,East,8,87,13,500,4000,Winter
14-01-2022,P008,Face Cream,Cosmetics,South,10,41,7,700,7000,Winter
14-01-2022,P009,Perfume,Cosmetics,North,10,77,12,1500,15000,Winter
15-01-2022,P001,Basmati Rice,Grocery,East,24,62,3,60,1440,Winter
15-01-2022,P002,Wheat Flour,Grocery,East,20,109,2,40,800,Winter
15-01-2022,P003,Cooking Oil,Grocery,North,33,99,2,150,4950,Winter
15-01-2022,P004,Cotton Shirt,Clothing,South,8,79,6,800,6400,Winter
15-01-2022,P005,Denim Jeans,Clothing,West,23,75,5,1200,27600,Winter
15-01-2022,P006,Winter Jacket,Clothing,North,35,117,7,2500,87500,Winter
15-01-2022,P007,Lipstick,Cosmetics,South,5,76,7,500,2500,Winter
15-01-2022,P008,Face Cream,Cosmetics,West,13,78,7,700,9100,Winter
15-01-2022,P009,Perfume,Cosmetics,North,6,101,9,1500,9000,Winter
16-01-2022,P001,Basmati Rice,Grocery,South,52,133,4,60,3120,Winter
16-01-2022,P002,Wheat Flour,Grocery,North,23,79,4,40,920,Winter
16-01-2022,P003,Cooking Oil,Grocery,West,55,153,4,150,8250,Winter
16-01-2022,P004,Cotton Shirt,Clothing,South,19,94,8,800,15200,Winter
16-01-2022,P005,Denim Jeans,Clothing,North,22,111,8,1200,26400,Winter
16-01-2022,P006,Winter Jacket,Clothing,West,28,88,5,2500,70000,Winter
16-01-2022,P007,Lipstick,Cosmetics,East,10,80,13,500,5000,Winter
16-01-2022,P008,Face Cream,Cosmetics,North,6,89,7,700,4200,Winter
16-01-2022,P009,Perfume,Cosmetics,East,7,83,7,1500,10500,Winter
17-01-2022,P001,Basmati Rice,Grocery,South,45,137,2,60,2700,Winter
17-01-2022,P002,Wheat Flour,Grocery,South,21,84,4,40,840,Winter
17-01-2022,P003,Cooking Oil,Grocery,East,43,142,2,150,6450,Winter
17-01-2022,P004,Cotton Shirt,Clothing,North,22,100,5,800,17600,Winter
17-01-2022,P005,Denim Jeans,Clothing,North,12,42,7,1200,14400,Winter
17-01-2022,P006,Winter Jacket,Clothing,West,54,101,7,2500,135000,Winter
17-01-2022,P007,Lipstick,Cosmetics,South,4,71,7,500,2000,Winter
17-01-2022,P008,Face Cream,Cosmetics,West,5,66,9,700,3500,Winter
17-01-2022,P009,Perfume,Cosmetics,South,9,93,7,1500,13500,Winter
18-01-2022,P001,Basmati Rice,Grocery,North,22,118,4,60,1320,Winter
18-01-2022,P002,Wheat Flour,Grocery,East,27,88,3,40,1080,Winter
18-01-2022,P003,Cooking Oil,Grocery,West,56,133,3,150,8400,Winter
18-01-2022,P004,Cotton Shirt,Clothing,North,23,88,8,800,18400,Winter
18-01-2022,P005,Denim Jeans,Clothing,South,19,68,6,1200,22800,Winter
18-01-2022,P006,Winter Jacket,Clothing,South,35,101,5,2500,87500,Winter
18-01-2022,P007,Lipstick,Cosmetics,North,12,65,12,500,6000,Winter
18-01-2022,P008,Face Cream,Cosmetics,West,4,47,11,700,2800,Winter
18-01-2022,P009,Perfume,Cosmetics,North,8,59,8,1500,12000,Winter
19-01-2022,P001,Basmati Rice,Grocery,South,48,114,4,60,2880,Winter
19-01-2022,P002,Wheat Flour,Grocery,South,55,118,2,40,2200,Winter
19-01-2022,P003,Cooking Oil,Grocery,South,31,87,2,150,4650,Winter
19-01-2022,P004,Cotton Shirt,Clothing,West,14,69,8,800,11200,Winter
19-01-2022,P005,Denim Jeans,Clothing,South,15,95,8,1200,18000,Winter
19-01-2022,P006,Winter Jacket,Clothing,South,40,105,7,2500,100000,Winter
19-01-2022,P007,Lipstick,Cosmetics,West,9,62,7,500,4500,Winter
19-01-2022,P008,Face Cream,Cosmetics,South,6,97,9,700,4200,Winter
19-01-2022,P009,Perfume,Cosmetics,South,7,76,7,1500,10500,Winter
20-01-2022,P001,Basmati Rice,Grocery,North,59,127,4,60,3540,Winter
20-01-2022,P002,Wheat Flour,Grocery,North,49,90,4,40,1960,Winter
20-01-2022,P003,Cooking Oil,Grocery,East,36,120,2,150,5400,Winter
20-01-2022,P004,Cotton Shirt,Clothing,West,23,73,9,800,18400,Winter
20-01-2022,P005,Denim Jeans,Clothing,West,12,53,7,1200,14400,Winter
20-01-2022,P006,Winter Jacket,Clothing,North,49,95,6,2500,122500,Winter
20-01-2022,P007,Lipstick,Cosmetics,South,7,43,8,500,3500,Winter
20-01-2022,P008,Face Cream,Cosmetics,East,6,74,9,700,4200,Winter
20-01-2022,P009,Perfume,Cosmetics,South,10,99,9,1500,15000,Winter
21-01-2022,P001,Basmati Rice,Grocery,North,59,103,2,60,3540,Winter
21-01-2022,P002,Wheat Flour,Grocery,South,44,106,2,40,1760,Winter
21-01-2022,P003,Cooking Oil,Grocery,South,21,84,3,150,3150,Winter
21-01-2022,P004,Cotton Shirt,Clothing,North,22,90,8,800,17600,Winter
21-01-2022,P005,Denim Jeans,Clothing,South,16,61,5,1200,19200,Winter
21-01-2022,P006,Winter Jacket,Clothing,South,30,124,5,2500,75000,Winter
21-01-2022,P007,Lipstick,Cosmetics,North,6,53,7,500,3000,Winter
21-01-2022,P008,Face Cream,Cosmetics,West,11,55,10,700,7700,Winter
21-01-2022,P009,Perfume,Cosmetics,West,13,112,12,1500,19500,Winter
22-01-2022,P001,Basmati Rice,Grocery,North,53,86,4,60,3180,Winter
22-01-2022,P002,Wheat Flour,Grocery,East,29,115,3,40,1160,Winter
22-01-2022,P003,Cooking Oil,Grocery,South,22,56,3,150,3300,Winter
22-01-2022,P004,Cotton Shirt,Clothing,East,21,85,6,800,16800,Winter
22-01-2022,P005,Denim Jeans,Clothing,North,7,49,5,1200,8400,Winter
22-01-2022,P006,Winter Jacket,Clothing,West,34,119,7,2500,85000,Winter
22-01-2022,P007,Lipstick,Cosmetics,North,11,82,11,500,5500,Winter
22-01-2022,P008,Face Cream,Cosmetics,East,8,42,12,700,5600,Winter
22-01-2022,P009,Perfume,Cosmetics,North,3,72,9,1500,4500,Winter
23-01-2022,P001,Basmati Rice,Grocery,South,22,91,4,60,1320,Winter
23-01-2022,P002,Wheat Flour,Grocery,North,25,113,4,40,1000,Winter
23-01-2022,P003,Cooking Oil,Grocery,East,44,136,4,150,6600,Winter
23-01-2022,P004,Cotton Shirt,Clothing,North,14,75,9,800,11200,Winter
23-01-2022,P005,Denim Jeans,Clothing,East,22,53,9,1200,26400,Winter
23-01-2022,P006,Winter Jacket,Clothing,West,37,83,6,2500,92500,Winter
23-01-2022,P007,Lipstick,Cosmetics,West,5,104,7,500,2500,Winter
23-01-2022,P008,Face Cream,Cosmetics,West,7,58,9,700,4900,Winter
23-01-2022,P009,Perfume,Cosmetics,West,8,54,12,1500,12000,Winter
24-01-2022,P001,Basmati Rice,Grocery,South,37,102,4,60,2220,Winter
24-01-2022,P002,Wheat Flour,Grocery,North,31,93,3,40,1240,Winter
24-01-2022,P003,Cooking Oil,Grocery,South,42,100,2,150,6300,Winter
24-01-2022,P004,Cotton Shirt,Clothing,North,19,77,7,800,15200,Winter
24-01-2022,P005,Denim Jeans,Clothing,West,19,70,7,1200,22800,Winter
24-01-2022,P006,Winter Jacket,Clothing,North,53,88,5,2500,132500,Winter
24-01-2022,P007,Lipstick,Cosmetics,East,4,94,7,500,2000,Winter
24-01-2022,P008,Face Cream,Cosmetics,West,14,70,7,700,9800,Winter
24-01-2022,P009,Perfume,Cosmetics,North,13,88,13,1500,19500,Winter
25-01-2022,P001,Basmati Rice,Grocery,East,48,101,3,60,2880,Winter
25-01-2022,P002,Wheat Flour,Grocery,South,34,80,3,40,1360,Winter
25-01-2022,P003,Cooking Oil,Grocery,West,28,117,4,150,4200,Winter
25-01-2022,P004,Cotton Shirt,Clothing,South,12,105,5,800,9600,Winter
25-01-2022,P005,Denim Jeans,Clothing,South,22,83,9,1200,26400,Winter
25-01-2022,P006,Winter Jacket,Clothing,North,38,118,5,2500,95000,Winter
25-01-2022,P007,Lipstick,Cosmetics,North,8,57,8,500,4000,Winter
25-01-2022,P008,Face Cream,Cosmetics,West,3,65,12,700,2100,Winter
25-01-2022,P009,Perfume,Cosmetics,North,12,63,12,1500,18000,Winter
26-01-2022,P001,Basmati Rice,Grocery,East,45,89,3,60,2700,Winter
26-01-2022,P002,Wheat Flour,Grocery,West,59,94,2,40,2360,Winter
26-01-2022,P003,Cooking Oil,Grocery,East,51,88,3,150,7650,Winter
26-01-2022,P004,Cotton Shirt,Clothing,West,15,48,6,800,12000,Winter
26-01-2022,P005,Denim Jeans,Clothing,South,13,56,6,1200,15600,Winter
26-01-2022,P006,Winter Jacket,Clothing,West,43,91,8,2500,107500,Winter
26-01-2022,P007,Lipstick,Cosmetics,West,14,113,12,500,7000,Winter
26-01-2022,P008,Face Cream,Cosmetics,North,13,45,9,700,9100,Winter
26-01-2022,P009,Perfume,Cosmetics,North,3,39,13,1500,4500,Winter
27-01-2022,P001,Basmati Rice,Grocery,South,43,76,3,60,2580,Winter
27-01-2022,P002,Wheat Flour,Grocery,West,51,146,4,40,2040,Winter
27-01-2022,P003,Cooking Oil,Grocery,South,58,145,3,150,8700,Winter
27-01-2022,P004,Cotton Shirt,Clothing,East,12,56,7,800,9600,Winter
27-01-2022,P005,Denim Jeans,Clothing,West,20,91,6,1200,24000,Winter
27-01-2022,P006,Winter Jacket,Clothing,North,46,135,5,2500,115000,Winter
27-01-2022,P007,Lipstick,Cosmetics,South,3,60,11,500,1500,Winter
27-01-2022,P008,Face Cream,Cosmetics,North,14,99,8,700,9800,Winter
27-01-2022,P009,Perfume,Cosmetics,East,12,51,7,1500,18000,Winter
28-01-2022,P001,Basmati Rice,Grocery,North,39,69,2,60,2340,Winter
28-01-2022,P002,Wheat Flour,Grocery,North,56,122,2,40,2240,Winter
28-01-2022,P003,Cooking Oil,Grocery,West,47,137,3,150,7050,Winter
28-01-2022,P004,Cotton Shirt,Clothing,East,24,82,7,800,19200,Winter
28-01-2022,P005,Denim Jeans,Clothing,North,5,85,8,1200,6000,Winter
28-01-2022,P006,Winter Jacket,Clothing,West,54,133,5,2500,135000,Winter
28-01-2022,P007,Lipstick,Cosmetics,East,8,60,10,500,4000,Winter
28-01-2022,P008,Face Cream,Cosmetics,West,7,37,12,700,4900,Winter
28-01-2022,P009,Perfume,Cosmetics,North,4,98,9,1500,6000,Winter
29-01-2022,P001,Basmati Rice,Grocery,South,49,95,3,60,2940,Winter
29-01-2022,P002,Wheat Flour,Grocery,East,27,89,2,40,1080,Winter
29-01-2022,P003,Cooking Oil,Grocery,West,33,124,3,150,4950,Winter
29-01-2022,P004,Cotton Shirt,Clothing,East,5,82,5,800,4000,Winter
29-01-2022,P005,Denim Jeans,Clothing,North,13,110,9,1200,15600,Winter
29-01-2022,P006,Winter Jacket,Clothing,South,30,72,7,2500,75000,Winter
29-01-2022,P007,Lipstick,Cosmetics,East,11,55,8,500,5500,Winter
29-01-2022,P008,Face Cream,Cosmetics,East,14,76,9,700,9800,Winter
29-01-2022,P009,Perfume,Cosmetics,West,5,100,9,1500,7500,Winter
30-01-2022,P001,Basmati Rice,Grocery,North,45,144,2,60,2700,Winter
30-01-2022,P002,Wheat Flour,Grocery,North,31,108,2,40,1240,Winter
30-01-2022,P003,Cooking Oil,Grocery,East,42,114,2,150,6300,Winter
30-01-2022,P004,Cotton Shirt,Clothing,East,19,63,8,800,15200,Winter
30-01-2022,P005,Denim Jeans,Clothing,East,8,50,7,1200,9600,Winter
30-01-2022,P006,Winter Jacket,Clothing,South,54,110,8,2500,135000,Winter
30-01-2022,P007,Lipstick,Cosmetics,West,6,65,7,500,3000,Winter
30-01-2022,P008,Face Cream,Cosmetics,North,9,77,8,700,6300,Winter
30-01-2022,P009,Perfume,Cosmetics,North,6,42,10,1500,9000,Winter
31-01-2022,P001,Basmati Rice,Grocery,West,32,70,4,60,1920,Winter
31-01-2022,P002,Wheat Flour,Grocery,North,27,82,4,40,1080,Winter
31-01-2022,P003,Cooking Oil,Grocery,South,43,132,4,150,6450,Winter
31-01-2022,P004,Cotton Shirt,Clothing,South,8,92,9,800,6400,Winter
31-01-2022,P005,Denim Jeans,Clothing,North,16,78,9,1200,19200,Winter
31-01-2022,P006,Winter Jacket,Clothing,South,40,101,6,2500,100000,Winter
31-01-2022,P007,Lipstick,Cosmetics,South,5,41,9,500,2500,Winter
31-01-2022,P008,Face Cream,Cosmetics,South,3,56,10,700,2100,Winter
31-01-2022,P009,Perfume,Cosmetics,South,9,74,10,1500,13500,Winter
01-02-2022,P001,Basmati Rice,Grocery,East,28,127,2,60,1680,Winter
01-02-2022,P002,Wheat Flour,Grocery,North,21,77,2,40,840,Winter
01-02-2022,P003,Cooking Oil,Grocery,South,22,95,3,150,3300,Winter
01-02-2022,P004,Cotton Shirt,Clothing,South,24,75,8,800,19200,Winter
01-02-2022,P005,Denim Jeans,Clothing,North,19,103,5,1200,22800,Winter
01-02-2022,P006,Winter Jacket,Clothing,West,43,75,9,2500,107500,Winter
01-02-2022,P007,Lipstick,Cosmetics,West,6,100,10,500,3000,Winter
01-02-2022,P008,Face Cream,Cosmetics,South,10,71,10,700,7000,Winter
01-02-2022,P009,Perfume,Cosmetics,South,6,58,8,1500,9000,Winter
02-02-2022,P001,Basmati Rice,Grocery,North,40,134,4,60,2400,Winter
02-02-2022,P002,Wheat Flour,Grocery,South,42,126,3,40,1680,Winter
02-02-2022,P003,Cooking Oil,Grocery,East,34,75,4,150,5100,Winter
02-02-2022,P004,Cotton Shirt,Clothing,South,17,76,7,800,13600,Winter
02-02-2022,P005,Denim Jeans,Clothing,West,13,77,7,1200,15600,Winter
02-02-2022,P006,Winter Jacket,Clothing,East,50,89,6,2500,125000,Winter
02-02-2022,P007,Lipstick,Cosmetics,North,3,86,10,500,1500,Winter
02-02-2022,P008,Face Cream,Cosmetics,East,8,62,8,700,5600,Winter
02-02-2022,P009,Perfume,Cosmetics,West,6,60,11,1500,9000,Winter
03-02-2022,P001,Basmati Rice,Grocery,West,31,78,2,60,1860,Winter
03-02-2022,P002,Wheat Flour,Grocery,South,51,140,4,40,2040,Winter
03-02-2022,P003,Cooking Oil,Grocery,East,24,63,2,150,3600,Winter
03-02-2022,P004,Cotton Shirt,Clothing,East,19,57,9,800,15200,Winter
03-02-2022,P005,Denim Jeans,Clothing,West,20,53,5,1200,24000,Winter
03-02-2022,P006,Winter Jacket,Clothing,East,44,123,9,2500,110000,Winter
03-02-2022,P007,Lipstick,Cosmetics,East,13,56,11,500,6500,Winter
03-02-2022,P008,Face Cream,Cosmetics,South,13,63,8,700,9100,Winter
03-02-2022,P009,Perfume,Cosmetics,East,3,45,8,1500,4500,Winter
04-02-2022,P001,Basmati Rice,Grocery,North,40,114,2,60,2400,Winter
04-02-2022,P002,Wheat Flour,Grocery,West,30,85,3,40,1200,Winter
04-02-2022,P003,Cooking Oil,Grocery,West,37,118,2,150,5550,Winter
04-02-2022,P004,Cotton Shirt,Clothing,South,21,114,5,800,16800,Winter
04-02-2022,P005,Denim Jeans,Clothing,North,20,59,6,1200,24000,Winter
04-02-2022,P006,Winter Jacket,Clothing,West,31,68,5,2500,77500,Winter
04-02-2022,P007,Lipstick,Cosmetics,North,5,103,11,500,2500,Winter
04-02-2022,P008,Face Cream,Cosmetics,West,3,83,11,700,2100,Winter
04-02-2022,P009,Perfume,Cosmetics,West,12,72,9,1500,18000,Winter
05-02-2022,P001,Basmati Rice,Grocery,West,34,91,4,60,2040,Winter
05-02-2022,P002,Wheat Flour,Grocery,North,24,91,4,40,960,Winter
05-02-2022,P003,Cooking Oil,Grocery,East,27,122,4,150,4050,Winter
05-02-2022,P004,Cotton Shirt,Clothing,North,8,78,6,800,6400,Winter
05-02-2022,P005,Denim Jeans,Clothing,South,8,39,9,1200,9600,Winter
05-02-2022,P006,Winter Jacket,Clothing,West,36,76,5,2500,90000,Winter
05-02-2022,P007,Lipstick,Cosmetics,East,13,64,11,500,6500,Winter
05-02-2022,P008,Face Cream,Cosmetics,West,3,53,12,700,2100,Winter
05-02-2022,P009,Perfume,Cosmetics,East,14,90,11,1500,21000,Winter
06-02-2022,P001,Basmati Rice,Grocery,South,40,76,4,60,2400,Winter
06-02-2022,P002,Wheat Flour,Grocery,West,41,92,2,40,1640,Winter
06-02-2022,P003,Cooking Oil,Grocery,South,48,104,3,150,7200,Winter
06-02-2022,P004,Cotton Shirt,Clothing,West,15,105,7,800,12000,Winter
06-02-2022,P005,Denim Jeans,Clothing,South,11,65,6,1200,13200,Winter
06-02-2022,P006,Winter Jacket,Clothing,West,24,56,8,2500,60000,Winter
06-02-2022,P007,Lipstick,Cosmetics,West,11,50,9,500,5500,Winter
06-02-2022,P008,Face Cream,Cosmetics,South,6,71,8,700,4200,Winter
06-02-2022,P009,Perfume,Cosmetics,South,11,74,10,1500,16500,Winter
07-02-2022,P001,Basmati Rice,Grocery,East,35,134,4,60,2100,Winter
07-02-2022,P002,Wheat Flour,Grocery,West,23,76,3,40,920,Winter
07-02-2022,P003,Cooking Oil,Grocery,North,57,107,3,150,8550,Winter
07-02-2022,P004,Cotton Shirt,Clothing,North,21,54,7,800,16800,Winter
07-02-2022,P005,Denim Jeans,Clothing,West,6,54,8,1200,7200,Winter
07-02-2022,P006,Winter Jacket,Clothing,East,37,97,9,2500,92500,Winter
07-02-2022,P007,Lipstick,Cosmetics,South,6,82,10,500,3000,Winter
07-02-2022,P008,Face Cream,Cosmetics,South,8,41,13,700,5600,Winter
07-02-2022,P009,Perfume,Cosmetics,South,9,47,7,1500,13500,Winter
08-02-2022,P001,Basmati Rice,Grocery,West,29,128,2,60,1740,Winter
08-02-2022,P002,Wheat Flour,Grocery,East,38,113,3,40,1520,Winter
